Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Pneumonia,Azithromycin,4.3,Not effective,"Diarrhea, stomach pain, nausea",391
Acid Reflux,Omeprazole,5,Not effective,"Stomach pain, bloating, dizziness",360
Tuberculosis,Rifampin,7,Highly recommended,"Liver damage, nausea, dizziness",256
Bronchitis,Dextromethorphan,7.9,Highly recommended,"Dizziness, dry mouth, fatigue",456
Liver Disease,Silymarin,8.9,Highly recommended,"Stomach pain, diarrhea, nausea",225
Kidney Stones,Tamsulosin,7.5,Caused side effects,"Dizziness, headache, nasal congestion",147
Stroke,Aspirin,8.4,Highly recommended,"Bleeding risk, stomach pain",332
Heart Disease,Atorvastatin,8.4,Highly recommended,"Muscle pain, liver issues, nausea",286
Alzheimer's,Donepezil,5,Somewhat helpful,"Nausea, insomnia, diarrhea",104
Anemia,Ferrous Sulfate,8.4,Caused side effects,"Constipation, nausea, black stools",256
Hypothyroidism,Levothyroxine,1.5,Highly recommended,"Weight loss, anxiety, nausea",387
Epilepsy,Carbamazepine,6,Somewhat helpful,"Dizziness, fatigue, liver problems",349
Diabetes,Metformin,7.9,Not effective,"Nausea, weight loss, dizziness",199
Hypertension,Lisinopril,3.4,Very effective,"Cough, dizziness, low blood pressure",81
Migraine,Sumatriptan,5.6,Caused side effects,"Nausea, dizziness, chest pain",332
Asthma,Albuterol,4.9,Not effective,"Tremors, nervousness, fast heartbeat",172
COVID-19,Remdesivir,9.2,Not effective,"Nausea, liver problems, rash",28
Flu,Tamiflu,7.6,Caused side effects,"Nausea, headache, dizziness",372
Depression,Sertraline,8.5,Not effective,"Drowsiness, weight gain, nausea",480
Arthritis,Ibuprofen,6.8,Caused side effects,"Stomach pain, nausea, ulcers",212
Pneumonia,Azithromycin,6.6,Somewhat helpful,"Diarrhea, stomach pain, nausea",289
Acid Reflux,Omeprazole,3.1,Highly recommended,"Stomach pain, bloating, dizziness",333
Tuberculosis,Rifampin,7.6,Caused side effects,"Liver damage, nausea, dizziness",31
Bronchitis,Dextromethorphan,9.2,Not effective,"Dizziness, dry mouth, fatigue",94
Liver Disease,Silymarin,6.3,Very effective,"Stomach pain, diarrhea, nausea",35
Kidney Stones,Tamsulosin,2.8,Highly recommended,"Dizziness, headache, nasal congestion",424
Stroke,Aspirin,1.2,Caused side effects,"Bleeding risk, stomach pain",252
Heart Disease,Atorvastatin,7.3,Caused side effects,"Muscle pain, liver issues, nausea",210
Alzheimer's,Donepezil,7.9,Very effective,"Nausea, insomnia, diarrhea",196
Anemia,Ferrous Sulfate,3.1,Somewhat helpful,"Constipation, nausea, black stools",206
Hypothyroidism,Levothyroxine,9.4,Very effective,"Weight loss, anxiety, nausea",448
Epilepsy,Carbamazepine,2.2,Caused side effects,"Dizziness, fatigue, liver problems",444
Diabetes,Metformin,5.4,Not effective,"Nausea, weight loss, dizziness",156
Hypertension,Lisinopril,1.5,Caused side effects,"Cough, dizziness, low blood pressure",412
Migraine,Sumatriptan,6.9,Very effective,"Nausea, dizziness, chest pain",329
Asthma,Albuterol,4.5,Not effective,"Tremors, nervousness, fast heartbeat",360
COVID-19,Remdesivir,2.7,Caused side effects,"Nausea, liver problems, rash",426
Flu,Tamiflu,7.8,Somewhat helpful,"Nausea, headache, dizziness",249
Depression,Sertraline,7.9,Not effective,"Drowsiness, weight gain, nausea",478
Arthritis,Ibuprofen,2.7,Not effective,"Stomach pain, nausea, ulcers",262
Pneumonia,Azithromycin,4.4,Very effective,"Diarrhea, stomach pain, nausea",265
Acid Reflux,Omeprazole,6.5,Very effective,"Stomach pain, bloating, dizziness",239
Tuberculosis,Rifampin,9,Somewhat helpful,"Liver damage, nausea, dizziness",115
Bronchitis,Dextromethorphan,1,Somewhat helpful,"Dizziness, dry mouth, fatigue",462
Liver Disease,Silymarin,4.6,Very effective,"Stomach pain, diarrhea, nausea",391
Kidney Stones,Tamsulosin,8.5,Not effective,"Dizziness, headache, nasal congestion",449
Stroke,Aspirin,2.4,Highly recommended,"Bleeding risk, stomach pain",256
Heart Disease,Atorvastatin,4.4,Somewhat helpful,"Muscle pain, liver issues, nausea",477
Alzheimer's,Donepezil,8.4,Not effective,"Nausea, insomnia, diarrhea",53
Anemia,Ferrous Sulfate,5.2,Not effective,"Constipation, nausea, black stools",478
Hypothyroidism,Levothyroxine,9.7,Somewhat helpful,"Weight loss, anxiety, nausea",214
Epilepsy,Carbamazepine,9.2,Highly recommended,"Dizziness, fatigue, liver problems",79
Diabetes,Metformin,7.6,Very effective,"Nausea, weight loss, dizziness",148
Hypertension,Lisinopril,2.4,Caused side effects,"Cough, dizziness, low blood pressure",351
Migraine,Sumatriptan,6.3,Very effective,"Nausea, dizziness, chest pain",351
Asthma,Albuterol,9.5,Not effective,"Tremors, nervousness, fast heartbeat",476
COVID-19,Remdesivir,5.7,Not effective,"Nausea, liver problems, rash",485
Flu,Tamiflu,2.6,Very effective,"Nausea, headache, dizziness",216
Depression,Sertraline,3,Somewhat helpful,"Drowsiness, weight gain, nausea",65
Arthritis,Ibuprofen,1.1,Somewhat helpful,"Stomach pain, nausea, ulcers",479
Pneumonia,Azithromycin,9,Highly recommended,"Diarrhea, stomach pain, nausea",413
Acid Reflux,Omeprazole,6.3,Caused side effects,"Stomach pain, bloating, dizziness",168
Tuberculosis,Rifampin,6.8,Highly recommended,"Liver damage, nausea, dizziness",447
Bronchitis,Dextromethorphan,7.9,Somewhat helpful,"Dizziness, dry mouth, fatigue",436
Liver Disease,Silymarin,9.4,Somewhat helpful,"Stomach pain, diarrhea, nausea",416
Kidney Stones,Tamsulosin,4.2,Highly recommended,"Dizziness, headache, nasal congestion",140
Stroke,Aspirin,9.5,Caused side effects,"Bleeding risk, stomach pain",10
Heart Disease,Atorvastatin,9.6,Not effective,"Muscle pain, liver issues, nausea",442
Alzheimer's,Donepezil,9.2,Highly recommended,"Nausea, insomnia, diarrhea",122
Anemia,Ferrous Sulfate,9.8,Not effective,"Constipation, nausea, black stools",264
Hypothyroidism,Levothyroxine,8.4,Not effective,"Weight loss, anxiety, nausea",339
Epilepsy,Carbamazepine,2.9,Caused side effects,"Dizziness, fatigue, liver problems",159
Diabetes,Metformin,8.9,Somewhat helpful,"Nausea, weight loss, dizziness",313
Hypertension,Lisinopril,4,Very effective,"Cough, dizziness, low blood pressure",309
Migraine,Sumatriptan,4.6,Not effective,"Nausea, dizziness, chest pain",444
Asthma,Albuterol,6.3,Somewhat helpful,"Tremors, nervousness, fast heartbeat",423
COVID-19,Remdesivir,7,Caused side effects,"Nausea, liver problems, rash",491
Flu,Tamiflu,1.2,Highly recommended,"Nausea, headache, dizziness",38
Depression,Sertraline,8,Somewhat helpful,"Drowsiness, weight gain, nausea",301
Arthritis,Ibuprofen,6.1,Highly recommended,"Stomach pain, nausea, ulcers",242
Pneumonia,Azithromycin,6.8,Highly recommended,"Diarrhea, stomach pain, nausea",101
Acid Reflux,Omeprazole,7.3,Caused side effects,"Stomach pain, bloating, dizziness",205
Tuberculosis,Rifampin,5.7,Very effective,"Liver damage, nausea, dizziness",381
Bronchitis,Dextromethorphan,3.1,Somewhat helpful,"Dizziness, dry mouth, fatigue",226
Liver Disease,Silymarin,3.9,Highly recommended,"Stomach pain, diarrhea, nausea",363
Kidney Stones,Tamsulosin,8.1,Somewhat helpful,"Dizziness, headache, nasal congestion",382
Stroke,Aspirin,9.3,Somewhat helpful,"Bleeding risk, stomach pain",495
Heart Disease,Atorvastatin,5.6,Highly recommended,"Muscle pain, liver issues, nausea",234
Alzheimer's,Donepezil,6.5,Very effective,"Nausea, insomnia, diarrhea",179
Anemia,Ferrous Sulfate,7.6,Highly recommended,"Constipation, nausea, black stools",396
Hypothyroidism,Levothyroxine,3.6,Somewhat helpful,"Weight loss, anxiety, nausea",285
Epilepsy,Carbamazepine,6.6,Highly recommended,"Dizziness, fatigue, liver problems",66
Diabetes,Metformin,6.7,Not effective,"Nausea, weight loss, dizziness",458
Hypertension,Lisinopril,3.3,Not effective,"Cough, dizziness, low blood pressure",257
Migraine,Sumatriptan,1.4,Highly recommended,"Nausea, dizziness, chest pain",414
Asthma,Albuterol,4.9,Very effective,"Tremors, nervousness, fast heartbeat",246
COVID-19,Remdesivir,5.3,Not effective,"Nausea, liver problems, rash",200
Flu,Tamiflu,9.4,Not effective,"Nausea, headache, dizziness",264
Depression,Sertraline,1.8,Somewhat helpful,"Drowsiness, weight gain, nausea",328
Arthritis,Ibuprofen,5.4,Somewhat helpful,"Stomach pain, nausea, ulcers",346
Pneumonia,Azithromycin,5.3,Caused side effects,"Diarrhea, stomach pain, nausea",105
Acid Reflux,Omeprazole,8.3,Caused side effects,"Stomach pain, bloating, dizziness",400
Tuberculosis,Rifampin,6.2,Somewhat helpful,"Liver damage, nausea, dizziness",16
Bronchitis,Dextromethorphan,9.8,Highly recommended,"Dizziness, dry mouth, fatigue",422
Liver Disease,Silymarin,5.1,Highly recommended,"Stomach pain, diarrhea, nausea",454
Kidney Stones,Tamsulosin,5.3,Somewhat helpful,"Dizziness, headache, nasal congestion",369
Stroke,Aspirin,9.3,Not effective,"Bleeding risk, stomach pain",377
Heart Disease,Atorvastatin,4.8,Somewhat helpful,"Muscle pain, liver issues, nausea",165
Alzheimer's,Donepezil,6.5,Very effective,"Nausea, insomnia, diarrhea",401
Anemia,Ferrous Sulfate,3.2,Very effective,"Constipation, nausea, black stools",256
Hypothyroidism,Levothyroxine,2.6,Somewhat helpful,"Weight loss, anxiety, nausea",28
Epilepsy,Carbamazepine,9.5,Very effective,"Dizziness, fatigue, liver problems",209
Diabetes,Metformin,2.9,Not effective,"Nausea, weight loss, dizziness",400
Hypertension,Lisinopril,4.6,Somewhat helpful,"Cough, dizziness, low blood pressure",141
Migraine,Sumatriptan,1.8,Not effective,"Nausea, dizziness, chest pain",201
Asthma,Albuterol,8.6,Caused side effects,"Tremors, nervousness, fast heartbeat",131
COVID-19,Remdesivir,3.2,Very effective,"Nausea, liver problems, rash",303
Flu,Tamiflu,7,Very effective,"Nausea, headache, dizziness",212
Depression,Sertraline,7.6,Very effective,"Drowsiness, weight gain, nausea",369
Arthritis,Ibuprofen,7.7,Not effective,"Stomach pain, nausea, ulcers",399
Pneumonia,Azithromycin,9.4,Not effective,"Diarrhea, stomach pain, nausea",148
Acid Reflux,Omeprazole,6.7,Not effective,"Stomach pain, bloating, dizziness",445
Tuberculosis,Rifampin,2.7,Very effective,"Liver damage, nausea, dizziness",21
Bronchitis,Dextromethorphan,3.9,Very effective,"Dizziness, dry mouth, fatigue",96
Liver Disease,Silymarin,7.2,Very effective,"Stomach pain, diarrhea, nausea",360
Kidney Stones,Tamsulosin,8.2,Not effective,"Dizziness, headache, nasal congestion",484
Stroke,Aspirin,2.5,Highly recommended,"Bleeding risk, stomach pain",412
Heart Disease,Atorvastatin,6.6,Caused side effects,"Muscle pain, liver issues, nausea",59
Alzheimer's,Donepezil,3.8,Somewhat helpful,"Nausea, insomnia, diarrhea",44
Anemia,Ferrous Sulfate,2.1,Highly recommended,"Constipation, nausea, black stools",410
Hypothyroidism,Levothyroxine,2.8,Caused side effects,"Weight loss, anxiety, nausea",356
Epilepsy,Carbamazepine,5.8,Not effective,"Dizziness, fatigue, liver problems",295
Diabetes,Metformin,6.5,Highly recommended,"Nausea, weight loss, dizziness",358
Hypertension,Lisinopril,4.1,Not effective,"Cough, dizziness, low blood pressure",44
Migraine,Sumatriptan,9.2,Not effective,"Nausea, dizziness, chest pain",480
Asthma,Albuterol,3.5,Somewhat helpful,"Tremors, nervousness, fast heartbeat",496
COVID-19,Remdesivir,4.3,Not effective,"Nausea, liver problems, rash",17
Flu,Tamiflu,6.4,Not effective,"Nausea, headache, dizziness",443
Depression,Sertraline,4.3,Highly recommended,"Drowsiness, weight gain, nausea",204
Arthritis,Ibuprofen,9.6,Somewhat helpful,"Stomach pain, nausea, ulcers",117
Pneumonia,Azithromycin,2.4,Highly recommended,"Diarrhea, stomach pain, nausea",194
Acid Reflux,Omeprazole,4.6,Somewhat helpful,"Stomach pain, bloating, dizziness",91
Tuberculosis,Rifampin,9.3,Not effective,"Liver damage, nausea, dizziness",471
Bronchitis,Dextromethorphan,9.3,Somewhat helpful,"Dizziness, dry mouth, fatigue",247
Liver Disease,Silymarin,5.3,Highly recommended,"Stomach pain, diarrhea, nausea",228
Kidney Stones,Tamsulosin,5.6,Very effective,"Dizziness, headache, nasal congestion",153
Stroke,Aspirin,8.2,Not effective,"Bleeding risk, stomach pain",245
Heart Disease,Atorvastatin,4.2,Not effective,"Muscle pain, liver issues, nausea",419
Alzheimer's,Donepezil,6.5,Very effective,"Nausea, insomnia, diarrhea",377
Anemia,Ferrous Sulfate,2.6,Highly recommended,"Constipation, nausea, black stools",461
Hypothyroidism,Levothyroxine,5.2,Very effective,"Weight loss, anxiety, nausea",245
Epilepsy,Carbamazepine,6,Somewhat helpful,"Dizziness, fatigue, liver problems",316
Diabetes,Metformin,1.3,Somewhat helpful,"Nausea, weight loss, dizziness",305
Hypertension,Lisinopril,9.6,Caused side effects,"Cough, dizziness, low blood pressure",212
Migraine,Sumatriptan,4.7,Not effective,"Nausea, dizziness, chest pain",11
Asthma,Albuterol,7.7,Not effective,"Tremors, nervousness, fast heartbeat",171
COVID-19,Remdesivir,9.4,Somewhat helpful,"Nausea, liver problems, rash",195
Flu,Tamiflu,8.5,Caused side effects,"Nausea, headache, dizziness",107
Depression,Sertraline,7,Somewhat helpful,"Drowsiness, weight gain, nausea",57
Arthritis,Ibuprofen,4.4,Caused side effects,"Stomach pain, nausea, ulcers",208
Pneumonia,Azithromycin,1,Caused side effects,"Diarrhea, stomach pain, nausea",403
Acid Reflux,Omeprazole,5.4,Somewhat helpful,"Stomach pain, bloating, dizziness",254
Tuberculosis,Rifampin,1.2,Caused side effects,"Liver damage, nausea, dizziness",286
Bronchitis,Dextromethorphan,9.3,Not effective,"Dizziness, dry mouth, fatigue",89
Liver Disease,Silymarin,2.4,Somewhat helpful,"Stomach pain, diarrhea, nausea",288
Kidney Stones,Tamsulosin,2.3,Highly recommended,"Dizziness, headache, nasal congestion",471
Stroke,Aspirin,6.6,Highly recommended,"Bleeding risk, stomach pain",187
Heart Disease,Atorvastatin,8.8,Not effective,"Muscle pain, liver issues, nausea",495
Alzheimer's,Donepezil,7.8,Highly recommended,"Nausea, insomnia, diarrhea",408
Anemia,Ferrous Sulfate,6,Very effective,"Constipation, nausea, black stools",14
Hypothyroidism,Levothyroxine,6.1,Somewhat helpful,"Weight loss, anxiety, nausea",366
Epilepsy,Carbamazepine,1.9,Not effective,"Dizziness, fatigue, liver problems",337
Diabetes,Metformin,7.6,Somewhat helpful,"Nausea, weight loss, dizziness",478
Hypertension,Lisinopril,4.1,Highly recommended,"Cough, dizziness, low blood pressure",201
Migraine,Sumatriptan,6.3,Somewhat helpful,"Nausea, dizziness, chest pain",87
Asthma,Albuterol,5.4,Very effective,"Tremors, nervousness, fast heartbeat",405
COVID-19,Remdesivir,8.6,Highly recommended,"Nausea, liver problems, rash",108
Flu,Tamiflu,1,Not effective,"Nausea, headache, dizziness",431
Depression,Sertraline,9.6,Caused side effects,"Drowsiness, weight gain, nausea",186
Arthritis,Ibuprofen,6.7,Very effective,"Stomach pain, nausea, ulcers",39
Pneumonia,Azithromycin,6.9,Caused side effects,"Diarrhea, stomach pain, nausea",113
Acid Reflux,Omeprazole,2.2,Caused side effects,"Stomach pain, bloating, dizziness",284
Tuberculosis,Rifampin,1.3,Somewhat helpful,"Liver damage, nausea, dizziness",342
Bronchitis,Dextromethorphan,2,Not effective,"Dizziness, dry mouth, fatigue",216
Liver Disease,Silymarin,9,Not effective,"Stomach pain, diarrhea, nausea",348
Kidney Stones,Tamsulosin,8.5,Somewhat helpful,"Dizziness, headache, nasal congestion",37
Stroke,Aspirin,4.4,Not effective,"Bleeding risk, stomach pain",94
Heart Disease,Atorvastatin,9.4,Not effective,"Muscle pain, liver issues, nausea",86
Alzheimer's,Donepezil,4.7,Not effective,"Nausea, insomnia, diarrhea",330
Anemia,Ferrous Sulfate,6.4,Somewhat helpful,"Constipation, nausea, black stools",69
Hypothyroidism,Levothyroxine,4.6,Caused side effects,"Weight loss, anxiety, nausea",289
Epilepsy,Carbamazepine,8.8,Not effective,"Dizziness, fatigue, liver problems",448
Diabetes,Metformin,7.8,Highly recommended,"Nausea, weight loss, dizziness",107
Hypertension,Lisinopril,3.3,Caused side effects,"Cough, dizziness, low blood pressure",214
Migraine,Sumatriptan,7.9,Somewhat helpful,"Nausea, dizziness, chest pain",349
Asthma,Albuterol,4.1,Very effective,"Tremors, nervousness, fast heartbeat",333
COVID-19,Remdesivir,9,Somewhat helpful,"Nausea, liver problems, rash",262
Flu,Tamiflu,9.3,Highly recommended,"Nausea, headache, dizziness",252
Depression,Sertraline,3.8,Caused side effects,"Drowsiness, weight gain, nausea",320
Arthritis,Ibuprofen,8.9,Very effective,"Stomach pain, nausea, ulcers",23
Pneumonia,Azithromycin,8.2,Very effective,"Diarrhea, stomach pain, nausea",430
Acid Reflux,Omeprazole,7.3,Very effective,"Stomach pain, bloating, dizziness",246
Tuberculosis,Rifampin,9.1,Caused side effects,"Liver damage, nausea, dizziness",135
Bronchitis,Dextromethorphan,3.5,Very effective,"Dizziness, dry mouth, fatigue",374
Liver Disease,Silymarin,6.3,Not effective,"Stomach pain, diarrhea, nausea",458
Kidney Stones,Tamsulosin,4.8,Somewhat helpful,"Dizziness, headache, nasal congestion",404
Stroke,Aspirin,2.6,Caused side effects,"Bleeding risk, stomach pain",299
Heart Disease,Atorvastatin,8.1,Caused side effects,"Muscle pain, liver issues, nausea",424
Alzheimer's,Donepezil,2.8,Very effective,"Nausea, insomnia, diarrhea",166
Anemia,Ferrous Sulfate,7.8,Highly recommended,"Constipation, nausea, black stools",84
Hypothyroidism,Levothyroxine,4.5,Somewhat helpful,"Weight loss, anxiety, nausea",62
Epilepsy,Carbamazepine,7.2,Not effective,"Dizziness, fatigue, liver problems",59
Diabetes,Metformin,4,Not effective,"Nausea, weight loss, dizziness",129
Hypertension,Lisinopril,4.2,Not effective,"Cough, dizziness, low blood pressure",128
Migraine,Sumatriptan,2,Caused side effects,"Nausea, dizziness, chest pain",309
Asthma,Albuterol,9.1,Somewhat helpful,"Tremors, nervousness, fast heartbeat",85
COVID-19,Remdesivir,9.6,Highly recommended,"Nausea, liver problems, rash",184
Flu,Tamiflu,8.3,Highly recommended,"Nausea, headache, dizziness",120
Depression,Sertraline,1.9,Very effective,"Drowsiness, weight gain, nausea",258
Arthritis,Ibuprofen,2.4,Somewhat helpful,"Stomach pain, nausea, ulcers",397
Pneumonia,Azithromycin,5.5,Highly recommended,"Diarrhea, stomach pain, nausea",376
Acid Reflux,Omeprazole,1.8,Very effective,"Stomach pain, bloating, dizziness",67
Tuberculosis,Rifampin,5.9,Somewhat helpful,"Liver damage, nausea, dizziness",345
Bronchitis,Dextromethorphan,2.2,Very effective,"Dizziness, dry mouth, fatigue",264
Liver Disease,Silymarin,5.8,Highly recommended,"Stomach pain, diarrhea, nausea",448
Kidney Stones,Tamsulosin,9.9,Highly recommended,"Dizziness, headache, nasal congestion",216
Stroke,Aspirin,8.6,Caused side effects,"Bleeding risk, stomach pain",156
Heart Disease,Atorvastatin,2.6,Very effective,"Muscle pain, liver issues, nausea",31
Alzheimer's,Donepezil,6.7,Caused side effects,"Nausea, insomnia, diarrhea",115
Anemia,Ferrous Sulfate,8.7,Somewhat helpful,"Constipation, nausea, black stools",304
Hypothyroidism,Levothyroxine,4.6,Very effective,"Weight loss, anxiety, nausea",339
Epilepsy,Carbamazepine,2.8,Highly recommended,"Dizziness, fatigue, liver problems",328
Diabetes,Metformin,8.9,Highly recommended,"Nausea, weight loss, dizziness",195
Hypertension,Lisinopril,2.4,Somewhat helpful,"Cough, dizziness, low blood pressure",268
Migraine,Sumatriptan,4.7,Very effective,"Nausea, dizziness, chest pain",109
Asthma,Albuterol,1.7,Highly recommended,"Tremors, nervousness, fast heartbeat",20
COVID-19,Remdesivir,9.3,Somewhat helpful,"Nausea, liver problems, rash",397
Flu,Tamiflu,4.3,Highly recommended,"Nausea, headache, dizziness",365
Depression,Sertraline,4.1,Caused side effects,"Drowsiness, weight gain, nausea",171
Arthritis,Ibuprofen,6.2,Highly recommended,"Stomach pain, nausea, ulcers",389
Pneumonia,Azithromycin,2.5,Highly recommended,"Diarrhea, stomach pain, nausea",356
Acid Reflux,Omeprazole,7.8,Not effective,"Stomach pain, bloating, dizziness",342
Tuberculosis,Rifampin,1.3,Not effective,"Liver damage, nausea, dizziness",191
Bronchitis,Dextromethorphan,4.3,Highly recommended,"Dizziness, dry mouth, fatigue",317
Liver Disease,Silymarin,9.1,Highly recommended,"Stomach pain, diarrhea, nausea",386
Kidney Stones,Tamsulosin,1,Highly recommended,"Dizziness, headache, nasal congestion",151
Stroke,Aspirin,6,Highly recommended,"Bleeding risk, stomach pain",469
Heart Disease,Atorvastatin,2.1,Very effective,"Muscle pain, liver issues, nausea",138
Alzheimer's,Donepezil,9.6,Caused side effects,"Nausea, insomnia, diarrhea",312
Anemia,Ferrous Sulfate,5,Very effective,"Constipation, nausea, black stools",190
Hypothyroidism,Levothyroxine,8.1,Caused side effects,"Weight loss, anxiety, nausea",455
Epilepsy,Carbamazepine,9.6,Caused side effects,"Dizziness, fatigue, liver problems",299
Diabetes,Metformin,4.5,Not effective,"Nausea, weight loss, dizziness",298
Hypertension,Lisinopril,1.2,Not effective,"Cough, dizziness, low blood pressure",375
Migraine,Sumatriptan,9.8,Not effective,"Nausea, dizziness, chest pain",291
Asthma,Albuterol,6.7,Somewhat helpful,"Tremors, nervousness, fast heartbeat",212
COVID-19,Remdesivir,7.1,Caused side effects,"Nausea, liver problems, rash",457
Flu,Tamiflu,6.2,Very effective,"Nausea, headache, dizziness",254
Depression,Sertraline,4.7,Not effective,"Drowsiness, weight gain, nausea",349
Arthritis,Ibuprofen,9.4,Not effective,"Stomach pain, nausea, ulcers",126
Pneumonia,Azithromycin,5.6,Not effective,"Diarrhea, stomach pain, nausea",239
Acid Reflux,Omeprazole,2.9,Somewhat helpful,"Stomach pain, bloating, dizziness",333
Tuberculosis,Rifampin,6,Very effective,"Liver damage, nausea, dizziness",204
Bronchitis,Dextromethorphan,2.6,Somewhat helpful,"Dizziness, dry mouth, fatigue",157
Liver Disease,Silymarin,1.3,Highly recommended,"Stomach pain, diarrhea, nausea",175
Kidney Stones,Tamsulosin,8.4,Very effective,"Dizziness, headache, nasal congestion",449
Stroke,Aspirin,1.9,Somewhat helpful,"Bleeding risk, stomach pain",16
Heart Disease,Atorvastatin,4.2,Not effective,"Muscle pain, liver issues, nausea",385
Alzheimer's,Donepezil,8.7,Highly recommended,"Nausea, insomnia, diarrhea",203
Anemia,Ferrous Sulfate,3.4,Very effective,"Constipation, nausea, black stools",142
Hypothyroidism,Levothyroxine,1.9,Caused side effects,"Weight loss, anxiety, nausea",317
Epilepsy,Carbamazepine,4,Very effective,"Dizziness, fatigue, liver problems",261
Diabetes,Metformin,2.1,Somewhat helpful,"Nausea, weight loss, dizziness",300
Hypertension,Lisinopril,4.9,Caused side effects,"Cough, dizziness, low blood pressure",499
Migraine,Sumatriptan,4.8,Caused side effects,"Nausea, dizziness, chest pain",480
Asthma,Albuterol,9.7,Not effective,"Tremors, nervousness, fast heartbeat",258
COVID-19,Remdesivir,4.6,Not effective,"Nausea, liver problems, rash",38
Flu,Tamiflu,4.1,Somewhat helpful,"Nausea, headache, dizziness",36
Depression,Sertraline,3.1,Not effective,"Drowsiness, weight gain, nausea",39
Arthritis,Ibuprofen,5.5,Highly recommended,"Stomach pain, nausea, ulcers",82
Pneumonia,Azithromycin,9.8,Somewhat helpful,"Diarrhea, stomach pain, nausea",359
Acid Reflux,Omeprazole,8.5,Very effective,"Stomach pain, bloating, dizziness",496
Tuberculosis,Rifampin,8.6,Somewhat helpful,"Liver damage, nausea, dizziness",444
Bronchitis,Dextromethorphan,9.5,Highly recommended,"Dizziness, dry mouth, fatigue",500
Liver Disease,Silymarin,8.4,Highly recommended,"Stomach pain, diarrhea, nausea",202
Kidney Stones,Tamsulosin,5,Very effective,"Dizziness, headache, nasal congestion",390
Stroke,Aspirin,6.7,Highly recommended,"Bleeding risk, stomach pain",135
Heart Disease,Atorvastatin,4.8,Caused side effects,"Muscle pain, liver issues, nausea",402
Alzheimer's,Donepezil,9.9,Somewhat helpful,"Nausea, insomnia, diarrhea",57
Anemia,Ferrous Sulfate,9.5,Highly recommended,"Constipation, nausea, black stools",193
Hypothyroidism,Levothyroxine,2.5,Highly recommended,"Weight loss, anxiety, nausea",295
Epilepsy,Carbamazepine,9.2,Somewhat helpful,"Dizziness, fatigue, liver problems",258
Diabetes,Metformin,1.4,Very effective,"Nausea, weight loss, dizziness",38
Hypertension,Lisinopril,6.7,Very effective,"Cough, dizziness, low blood pressure",201
Migraine,Sumatriptan,1.6,Caused side effects,"Nausea, dizziness, chest pain",243
Asthma,Albuterol,1.8,Not effective,"Tremors, nervousness, fast heartbeat",175
COVID-19,Remdesivir,3.8,Caused side effects,"Nausea, liver problems, rash",275
Flu,Tamiflu,4.4,Highly recommended,"Nausea, headache, dizziness",104
Depression,Sertraline,9.9,Caused side effects,"Drowsiness, weight gain, nausea",298
Arthritis,Ibuprofen,5.2,Somewhat helpful,"Stomach pain, nausea, ulcers",73
Pneumonia,Azithromycin,5.3,Very effective,"Diarrhea, stomach pain, nausea",90
Acid Reflux,Omeprazole,8.3,Not effective,"Stomach pain, bloating, dizziness",144
Tuberculosis,Rifampin,2.5,Very effective,"Liver damage, nausea, dizziness",300
Bronchitis,Dextromethorphan,7.1,Very effective,"Dizziness, dry mouth, fatigue",36
Liver Disease,Silymarin,6.4,Very effective,"Stomach pain, diarrhea, nausea",138
Kidney Stones,Tamsulosin,10,Caused side effects,"Dizziness, headache, nasal congestion",410
Stroke,Aspirin,7.3,Very effective,"Bleeding risk, stomach pain",154
Heart Disease,Atorvastatin,2.2,Not effective,"Muscle pain, liver issues, nausea",316
Alzheimer's,Donepezil,2.9,Highly recommended,"Nausea, insomnia, diarrhea",366
Anemia,Ferrous Sulfate,1.4,Caused side effects,"Constipation, nausea, black stools",295
Hypothyroidism,Levothyroxine,5.1,Very effective,"Weight loss, anxiety, nausea",272
Epilepsy,Carbamazepine,1.4,Very effective,"Dizziness, fatigue, liver problems",439
Diabetes,Metformin,5.1,Highly recommended,"Nausea, weight loss, dizziness",279
Hypertension,Lisinopril,1.6,Not effective,"Cough, dizziness, low blood pressure",82
Migraine,Sumatriptan,5.4,Somewhat helpful,"Nausea, dizziness, chest pain",71
Asthma,Albuterol,4.5,Not effective,"Tremors, nervousness, fast heartbeat",452
COVID-19,Remdesivir,9.6,Caused side effects,"Nausea, liver problems, rash",321
Flu,Tamiflu,6.2,Highly recommended,"Nausea, headache, dizziness",444
Depression,Sertraline,7.6,Highly recommended,"Drowsiness, weight gain, nausea",196
Arthritis,Ibuprofen,9.7,Not effective,"Stomach pain, nausea, ulcers",261
Pneumonia,Azithromycin,8,Highly recommended,"Diarrhea, stomach pain, nausea",152
Acid Reflux,Omeprazole,7.6,Caused side effects,"Stomach pain, bloating, dizziness",377
Tuberculosis,Rifampin,8.2,Highly recommended,"Liver damage, nausea, dizziness",297
Bronchitis,Dextromethorphan,2.8,Very effective,"Dizziness, dry mouth, fatigue",172
Liver Disease,Silymarin,2,Not effective,"Stomach pain, diarrhea, nausea",240
Kidney Stones,Tamsulosin,1.3,Not effective,"Dizziness, headache, nasal congestion",278
Stroke,Aspirin,5.9,Caused side effects,"Bleeding risk, stomach pain",22
Heart Disease,Atorvastatin,5.1,Highly recommended,"Muscle pain, liver issues, nausea",348
